Approaches,1:15,1:10,1:5,1:1
RandomOverSampler,0.866,0.867,0.866,0.866
SMOTE,0.866,0.864,0.86,0.849
BorderlineSMOTE,0.866,0.865,0.862,0.855
RandomUnderSampler,0.866,0.865,0.866,0.866
NearMiss,0.839,0.813,0.782,0.739
InstanceHardnessThreshold,0.867,0.866,0.866,0.866
SMOTEENN,0.85,0.86,0.863,0.859
SMOTETomek,0.865,0.863,0.861,0.851
xgb,0.867,0.867,0.867,0.867
