,xgb,rus1,rus5,rus10,rus15,iht1,iht5,iht10,iht15
xgb,1.0,0.988,0.985,0.997,0.954,-0.043,0.535,0.74,0.688
rus1,0.988,1.0,0.997,0.985,0.979,-0.018,0.547,0.716,0.713
rus5,0.985,0.997,1.0,0.988,0.985,-0.043,0.539,0.726,0.732
rus10,0.997,0.985,0.988,1.0,0.96,-0.067,0.527,0.75,0.707
rus15,0.954,0.979,0.985,0.96,1.0,-0.073,0.511,0.682,0.746
iht1,-0.043,-0.018,-0.043,-0.067,-0.073,1.0,0.596,0.19,0.223
iht5,0.535,0.547,0.539,0.527,0.511,0.596,1.0,0.823,0.787
iht10,0.74,0.716,0.726,0.75,0.682,0.19,0.823,1.0,0.871
iht15,0.688,0.713,0.732,0.707,0.746,0.223,0.787,0.871,1.0
