,xgb,rus1,rus5,rus10,rus15,iht1,iht5,iht10,iht15
xgb,1.0,0.997,0.988,1.0,0.997,0.074,0.631,0.765,0.682
rus1,0.997,1.0,0.985,0.997,1.0,0.062,0.638,0.778,0.707
rus5,0.988,0.985,1.0,0.988,0.985,0.049,0.662,0.826,0.682
rus10,1.0,0.997,0.988,1.0,0.997,0.074,0.631,0.765,0.682
rus15,0.997,1.0,0.985,0.997,1.0,0.062,0.638,0.778,0.707
iht1,0.074,0.062,0.049,0.074,0.062,1.0,0.519,0.231,0.424
iht5,0.631,0.638,0.662,0.631,0.638,0.519,1.0,0.893,0.829
iht10,0.765,0.778,0.826,0.765,0.778,0.231,0.893,1.0,0.829
iht15,0.682,0.707,0.682,0.682,0.707,0.424,0.829,0.829,1.0
