Approaches,1:15,1:10,1:5,1:1
RandomOverSampler,0.264,0.322,0.396,0.276
SMOTE,0.228,0.244,0.271,0.311
BorderlineSMOTE,0.235,0.262,0.313,0.357
RandomUnderSampler,0.261,0.33,0.391,0.271
NearMiss,0.253,0.313,0.213,0.12
InstanceHardnessThreshold,0.373,0.324,0.277,0.277
SMOTEENN,0.164,0.271,0.357,0.34
SMOTETomek,0.211,0.234,0.284,0.352
xgb,0.197,0.197,0.197,0.197
