Approaches,1:15,1:10,1:5,1:1
RandomOverSampler,0.333,0.393,0.465,0.704
SMOTE,0.258,0.364,0.443,0.668
BorderlineSMOTE,0.364,0.393,0.49,0.679
RandomUnderSampler,0.333,0.393,0.488,0.68
NearMiss,0.393,0.522,0.627,0.612
InstanceHardnessThreshold,0.418,0.51,0.543,0.543
SMOTEENN,0.258,0.298,0.489,0.663
SMOTETomek,0.365,0.364,0.443,0.668
logit,0.333,0.333,0.333,0.333
