Approaches,1:15,1:10,1:5,1:1
RandomOverSampler,0.916,0.94,0.939,0.925
SMOTE,0.92,0.927,0.931,0.931
BorderlineSMOTE,0.923,0.917,0.938,0.932
RandomUnderSampler,0.946,0.938,0.919,0.911
NearMiss,0.924,0.871,0.809,0.675
InstanceHardnessThreshold,0.926,0.925,0.921,0.921
SMOTEENN,0.905,0.898,0.923,0.912
SMOTETomek,0.932,0.937,0.916,0.908
xgb,0.934,0.934,0.934,0.934
