,ir15,ir10,ir5,ir1
AUC,2.888,2.738,2.288,2.088
Gmeans,3.75,3.05,2.025,1.175
Fmeasure,3.375,2.75,1.9,1.975
Combination,3.338,2.846,2.071,1.746
