Approaches,1:15,1:10,1:5,1:1
RandomOverSampler,0.0,0.0,0.0,0.451
SMOTE,0.0,0.0,0.0,0.316
BorderlineSMOTE,0.0,0.0,0.343,0.32
RandomUnderSampler,0.0,0.0,0.0,0.612
NearMiss,0.0,0.312,0.297,0.372
InstanceHardnessThreshold,0.345,0.443,0.509,0.509
SMOTEENN,0.0,0.0,0.0,0.31
SMOTETomek,0.0,0.0,0.0,0.316
logit,0.0,0.0,0.0,0.0
