Approaches,1:15,1:10,1:5,1:1
RandomOverSampler,0.57,0.57,0.615,0.729
SMOTE,0.521,0.477,0.569,0.716
BorderlineSMOTE,0.499,0.477,0.539,0.7
RandomUnderSampler,0.531,0.579,0.655,0.767
NearMiss,0.564,0.622,0.704,0.485
InstanceHardnessThreshold,0.638,0.729,0.719,0.719
SMOTEENN,0.104,0.346,0.517,0.739
SMOTETomek,0.489,0.465,0.55,0.708
xgb,0.551,0.551,0.551,0.551
