Approaches,1:15,1:10,1:5,1:1
RandomOverSampler,0.911,0.895,0.894,0.889
SMOTE,0.906,0.895,0.888,0.861
BorderlineSMOTE,0.902,0.888,0.88,0.857
RandomUnderSampler,0.903,0.905,0.905,0.862
NearMiss,0.897,0.841,0.791,0.697
InstanceHardnessThreshold,0.889,0.855,0.81,0.81
SMOTEENN,0.735,0.779,0.843,0.862
SMOTETomek,0.882,0.883,0.892,0.867
xgb,0.906,0.906,0.906,0.906
