Approaches,1:15,1:10,1:5,1:1
RandomOverSampler,0.472,0.476,0.496,0.449
SMOTE,0.413,0.359,0.432,0.392
BorderlineSMOTE,0.38,0.341,0.388,0.423
RandomUnderSampler,0.43,0.463,0.503,0.232
NearMiss,0.349,0.227,0.174,0.101
InstanceHardnessThreshold,0.373,0.296,0.176,0.176
SMOTEENN,0.021,0.21,0.336,0.296
SMOTETomek,0.376,0.336,0.415,0.381
xgb,0.459,0.459,0.459,0.459
